success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,independent_seeds,cumulative_excess_pct_mean,cumulative_excess_pct_ci_low,cumulative_excess_pct_ci_high
0.9,0,2,0.1,sco_reset_ucb,220,12,12.295229984370366,10.725578480514404,13.864881488226327
0.9,0,2,0.1,sco_reset_ucb,230,12,11.833848492308464,10.328867619533826,13.338829365083102
0.9,0,2,0.1,sco_reset_ucb,240,12,11.374779050039498,10.010061179147486,12.73949692093151
0.9,0,2,0.1,sco_reset_ucb,250,12,11.665266158460819,10.421779618897475,12.908752698024163
0.9,0,2,0.1,sco_reset_ucb,260,12,11.403376126987814,10.197804784652412,12.608947469323216
0.9,0,2,0.1,sco_reset_ucb,270,12,11.142747200523646,10.034829476942932,12.25066492410436
0.9,0,2,0.1,sco_reset_ucb,280,12,11.161215636511043,9.990617637320621,12.331813635701465
0.9,0,2,0.1,sco_reset_ucb,290,12,10.992591235059841,9.801673810944678,12.183508659175004
0.9,0,2,0.1,sco_reset_ucb,300,12,10.923125626493464,9.719742989762443,12.126508263224485
0.9,0,2,0.1,sco_reset_ucb,310,12,10.790093509493401,9.599776497767355,11.980410521219447
0.9,0,2,0.1,sco_reset_ucb,320,12,10.548657256830761,9.309553502229234,11.78776101143229
0.9,0,2,0.1,sco_reset_ucb,330,12,10.178196926500087,8.963749387181338,11.392644465818837
0.9,0,2,0.1,sco_reset_ucb,340,12,9.991461721482688,8.857850666507652,11.125072776457724
0.9,0,2,0.1,sco_reset_ucb,350,12,9.873205180547558,8.733085247462313,11.013325113632803
0.9,0,2,0.1,sco_reset_ucb,360,12,9.821759119851464,8.647438361898846,10.996079877804082
0.9,0,2,0.1,sco_reset_ucb,370,12,9.76801333680966,8.587460876894447,10.948565796724875
0.9,0,2,0.1,sco_reset_ucb,380,12,9.721261549944991,8.403193863259316,11.039329236630666
0.9,0,2,0.1,sco_reset_ucb,390,12,9.562729572701906,8.180647762191114,10.944811383212699
0.9,0,2,0.1,sco_reset_ucb,400,12,9.453829230693193,7.9835451679366525,10.924113293449734
0.9,0,2,0.1,ps_forced_reset_ucb,10,12,39.24077373596633,32.516727415548615,45.96482005638404
0.9,0,2,0.1,ps_forced_reset_ucb,20,12,32.677564912022156,28.03923400637499,37.31589581766932
0.9,0,2,0.1,ps_forced_reset_ucb,30,12,31.27758873320954,26.984584016874287,35.570593449544795
0.9,0,2,0.1,ps_forced_reset_ucb,40,12,29.237519193233314,24.714311480333546,33.76072690613309
0.9,0,2,0.1,ps_forced_reset_ucb,50,12,26.936479383698778,23.07469574089513,30.798263026502426
0.9,0,2,0.1,ps_forced_reset_ucb,60,12,28.126876470851197,25.403002064406078,30.850750877296317
0.9,0,2,0.1,ps_forced_reset_ucb,70,12,26.19205903211413,23.8449423313395,28.53917573288876
0.9,0,2,0.1,ps_forced_reset_ucb,80,12,24.663489609168654,22.49337581409464,26.833603404242666
0.9,0,2,0.1,ps_forced_reset_ucb,90,12,23.263780289870798,21.024905259252744,25.502655320488852
0.9,0,2,0.1,ps_forced_reset_ucb,100,12,21.607825760802267,19.374860791087457,23.840790730517078
0.9,0,2,0.1,ps_forced_reset_ucb,110,12,21.71355869391533,19.5107977259451,23.916319661885563
0.9,0,2,0.1,ps_forced_reset_ucb,120,12,20.389982435848655,18.372094505553708,22.4078703661436
0.9,0,2,0.1,ps_forced_reset_ucb,130,12,19.44278079024514,17.470162827664364,21.41539875282592
0.9,0,2,0.1,ps_forced_reset_ucb,140,12,18.598590911746864,16.76652869377096,20.430653129722767
0.9,0,2,0.1,ps_forced_reset_ucb,150,12,17.847754125101265,16.020603108882568,19.67490514131996
0.9,0,2,0.1,ps_forced_reset_ucb,160,12,18.05978296787291,16.422870552747483,19.696695382998335
0.9,0,2,0.1,ps_forced_reset_ucb,170,12,17.22295532248507,15.759923061456671,18.68598758351347
0.9,0,2,0.1,ps_forced_reset_ucb,180,12,16.958235351431853,15.60633738603136,18.310133316832346
0.9,0,2,0.1,ps_forced_reset_ucb,190,12,16.151144285927703,14.990158142969673,17.312130428885734
0.9,0,2,0.1,ps_forced_reset_ucb,200,12,15.347021942547807,14.162593827810001,16.531450057285614
0.9,0,2,0.1,ps_forced_reset_ucb,210,12,15.506664518899315,14.202460093465927,16.810868944332704
0.9,0,2,0.1,ps_forced_reset_ucb,220,12,14.957837491590281,13.533542187805239,16.382132795375323
0.9,0,2,0.1,ps_forced_reset_ucb,230,12,14.387991008733552,13.077687192717747,15.698294824749357
0.9,0,2,0.1,ps_forced_reset_ucb,240,12,13.965551945822696,12.752313346582236,15.178790545063157
0.9,0,2,0.1,ps_forced_reset_ucb,250,12,14.03301126940172,12.888676593967451,15.17734594483599
0.9,0,2,0.1,ps_forced_reset_ucb,260,12,14.177253063243,12.950726621491887,15.403779504994114
0.9,0,2,0.1,ps_forced_reset_ucb,270,12,13.941560929167716,12.830772195177559,15.052349663157873
